headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
bank-n	The same for the <bank> versus the central bank / government.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Sat on the <banks> of the river Thames overlooking St.Paul's, the City and beyond – our showroom is located in one of the most iconic locations in London.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	The House Financial Services Committee unanimously approved a measure that would raise coverage to $250,000 per depositor per <bank>, from $100,000.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Home to 3,000 residents, the village of East Dundee is a picturesque community located along the eastern <banks> of the Fox River in northeast Kane County.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Banking without <banks> can take three percent, five percent, six percent out of the cost of intermediation.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.sx	a7.s1
bank-n	She put aside a length of rope, then began methodically picking up the bags, and tossing them in a neat arc way over the river onto the far <bank>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Again, it's on the west <bank> of the river as far as we can tell.	a1.s2	a2.s7	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	It is not managed by a central <bank> like the US Federal Reserve, instead its users maintain a shared control.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Greek concessions so far were prerequisites to begin new talks - as well as getting a 7 billion euro bridge loan so its <banks> could hand most of it back to the ECB and IMF in debt service.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	This started when <banks> like HDFC, SBI, and others recently sent curricula to crypto-linked customers during the past few months stating they would not support transactions to and from crypto businesses.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The story is a bit confusing because it also quotes some sources as saying that <banks> like Goldman are seriously preparing for some major changes, the biggest of those being the reshuffling of personnel that would take those people engaged in proprietary trading (i.e. trading for the bank's own account) and put them in other departments, most likely trading on behalf of clients.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	"Now Lance isn't going to let any of us so much as smash open our piggy <banks> without going through him first."	a1.s1	a2.s12	a3.s3	a4.s3	a5.s1	a6.s3	a7.s1
bank-n	They had rejected the waters of Shiloh*5* and rejoiced in Rezin and Remaliah's son; they will receive the waters that they have chosen – the strong and mighty waters of the army of Assyria that will flow over its <banks> and sweep onward to Judah.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Hence, the U. S. Treasury continued paying six per cent interest to the banks while the <banks> were required to pay to the U. S. Treasury two percent per year on the currency obtained by the banks.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	The reason is that the creation of the FDIC allowed savers to believe that their deposits at <banks> are "insured" against loss.	a1.s1	a2.s12	a3.sx	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Look at the word <bank> below the sheet and select the word that matches the other letters.	a1.s4	a2.sx	a3.s3	a4.s5	a5.s4	a6.sx	a7.s6
bank-n	1) Bail out the <banks> at taxpayer expense 2) Do so at the least possible cost to the major bondholders (not the taxpayer)	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	He and his assigned team lay alongside the <banks> of a small lake.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	We were wading along the river while casting toward the opposite <bank> as the fish passed through.	a1.s2	a2.s2	a3.sx	a4.s2	a5.sx	a6.s2	a7.s3
bank-n	The beaver in the bush came scurrying out to the <bank> without a branch, looked at me with an expression of irritation, and slid down into the safety of the water.	a1.s2	a2.s4	a3.s1	a4.s1	a5.s1	a6.sx	a7.s1
bank-n	The U.S. Justice Department charged two men with hacking ATMs inside Connecticut <banks> in full view of surveillance cameras.	a1.s1	a2.s4	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Last issue, Griffin was among the criminals that had been robbing the <bank>.	a1.s2	a2.s8	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	With that he continued swimming toward the far <bank> of the river.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	In addition, we will help you open a <bank> account to set up an offshore company in the banks of Switzerland (UBS), Cyprus (Marfin Popular Bank, Hellenic Bank), Baltic (Aizkraukles Banka, Snoras, etc.).	a1.s1	a2.s12	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The governments only there to take more tax off the people and give it to the banks so the <banks> can lend it to more people and make them happy and deeper in debt.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Meanwhile, it was wonderful to wake every morning close under the steep <bank>, and, without lifting one's head from the pillow, to see that row of giant faces so close against the sky.	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx	a7.s2
bank-n	Why should students get smaller loans because <banks> want to make profits on something that the govt can do for cheaper.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The facts, which involve the legality of a statute of Vermont imposing a tax on deposits in national <banks>, are stated in the opinion.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Fishing, Abergorlech, Red Kites and the Black Lion InnEnjoy fishing (by prior arrangement with the Edwinsford Country Estate e-mail jamiephilipps@btconnect. com 015507 40480), bird watching (red kites, buzzards, kingfishers and many more) otter spotting, walk along the river <bank> through ancient woodlands or down the Cothi Valley to Abergorlach for lunch at the cosy Black Lion Inn.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	The parish is situated on the northern <bank> of the river Doveran, along which it extends for about six miles, some of the extreme points, however, being eight miles distant; and it stretches, in breadth, from the stream five or six miles, with a fine southern exposure; the whole comprising thirty-four square miles.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	This accounting term is important because accountant has to match his bank account's balance with balance per <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Ms. McLaughlin has a plan to help the many Richmond residents who owe more money on their houses than their houses are worth, but it's one that <banks> like Wells Fargo, large asset managers like Pimco and BlackRock, real estate interests and even Fannie Mae and Freddie Mac, the mortgage finance giants, have tried to quash.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Traditionally, <banks> like JP Morgan have an entertainment division that uses proprietary risk mitigation regression analysis to see if future film revenues can meet an exceedance probability (where in the ultimate revenues allow the loan to break even), but this is calculated guesswork, and has caused all of the major national banks to lose millions in bad loans.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The fund will continue to own the bank until the <bank> is sold to new owners.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Precisely, this refinancing tool is defined by two maturities for direct lending to <banks> against eligible collateral.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
bank-n	And whilst corporate can't be bothered working in unison to change bank behaviours, and whilst they won't change banks unless the <banks> inhibit their supply chains and working capital structures, then little will change in the relationship between the two.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	He said: "Competition amongst the <banks> is already strong, 'rate wars' are frequent, and a lower-for-longer official cash rate also bodes well for mortgage rates over the next 1-2 years at least."	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The Bank of England has magicked a few billion pounds out of thin air and used it to buy assets off British <banks> so that they will have enough capital to start lending again.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	On another hand, the stock of the largest <bank> by market capitalization- Bank of Palestine BOP- declined by 0.81% than its previous weekly closing level and through transactions that reached $0.43 million.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	It's no surprise that <banks> like Goldman Sachs and the People's Bank of China are now interested in incorporating cryptocurrency in their client services.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The history of the area dates back to before the revolutionary war to a time when the Catawba Indians lived along the eastern <banks> of the river that still bears their name, and the Cherokee Indians lived to the west.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	What are the advantages/disadvantages of public mitigation <banks> vs. private mitigation banks?	a1.s1	a2.s5	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The new designation, which comes on top of the Office of Foreign Assets Control's (OFAC) similar designation for the Iranian Central Bank, requires U.S. banks to conduct "special due diligence" on accounts maintained by foreign <banks> if those foreign banks themselves hold accounts for Iranian financial institutions.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Soon you may get money from the <bank> for having a mortgage.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Although I would not expect PSU banks other than SBI to get a lot active, but with corporate NPL problems behind for large corporate <banks> like SBI, ICICI and Axis, A lot of capacity is back in business.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	You can contact the security company's Correspondence office in Europe for verification on the consignment as the funds was deposited in a <bank> as a consignment, and the consignment's code is? 1156?	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Radial engines have an odd number of cylinders per <bank> for reasons described in the wiki page for radial engines.	a1.s3	a2.sx	a3.s4	a4.s4	a5.s3	a6.s4	a7.s5
bank-n	You should also try to save and reduce your un-necessary expenses such that you have good money in your <bank> for your bad time.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Even then, regulators will not have the permission to shut down <banks> unless the banks become less powerful.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
