headword	text	sense1	sense2	sense3	sense4	sense5
餐厅-n	酒店位于拓东路与环城东路交叉路口处，邻近市中心、金马碧鸡坊、昆明市博物馆、集成广场、泰丽酒店等【前往酒店】：-距离昆明火车站2.4公里，乘坐出租车约10分钟-距离昆明国际会展中心、国贸中心4公里15分钟车程-距离新昆明长水国际机场20公里，（酒店门口有机场大巴昆明市官渡区环城东路1011号（邻近长水机场、火车站、国际会展中心）商务中心、洗衣服务、叫醒服务、前台贵重物品保险柜、免费停车场、会议服务、大床、双床、上网、停车场、刷卡Visacard,牡丹卡,金穗卡,长城卡,龙卡,太平洋卡,万事达卡,运通卡,大莱卡茶<餐厅>：位于2层，设置了中西式自助早餐12元一位，平均不低于30个品种。	a1.s1	a2.s2	a3.s5	a4.s1	a5.s1
餐厅-n	此外，悦咖啡、奔流、泡泡帮、饺来饺去、很高兴遇见你<餐厅>、国际冬季运动博览会也对本次活动提供了大力支持。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	库斯科好几家餐厅跟Uchu一样属于CuscoDining，旗下都是中高档的<餐厅>。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	2：还可以应用于产生油烟量比较大的宾馆及<餐厅>的厨房等场所。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	确立了这样的整体形象无论是将来的新店开来还是旧店搬迁都不会影响到<餐厅>的生意，因为人们只要看到企业的logo形象，看到独具特色的装修风格，就会想到自己熟悉的那个餐饮企业，对该企业好印象也会延续到这家新店，下在是由于品牌形象的确立使用餐厅能够在第一时间被人们普遍接受。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	儿童主题餐厅桌椅价格有这些，实木儿童儿童主题餐厅桌椅RMB1990爱果乐儿儿童主题<餐厅>桌椅套装可升降RMB2998生活诚品书桌可升降儿童主题餐厅桌椅套餐RMB4980价格来源网络，请自行核实。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	饭店拥有标准间和套间等客房160间，房内设备齐全，有大、中、小餐厅12个，牡丹厅、王兰厅和樱花厅等小餐厅设施精良，环境幽雅，<餐厅>可以同时容纳500人就餐。	a1.sx	a2.s2	a3.s1	a4.s2	a5.s1
餐厅-n	<餐厅>背景墙在餐厅装饰中起到画龙点睛的作用，不同风格、款式背景墙的设计其所呈现出来的效果肯定不一样。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	HembaduPalmGrill:宽敞的户外<餐厅>，提供舒适的用餐环境，可以欣赏HembadhuReef、蓝绿色海水的美景。	a1.sx	a2.s6	a3.s1	a4.sx	a5.s1
餐厅-n	全球首间酒店落户深圳2017-01-1914:11:03与香港一河之隔的深圳，下半年将开设全球首间MUJI酒店，集<餐厅>和商店于一身，成为全国新焦点。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	<餐厅>的菜不错。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	当天的晚宴，胡琏已有醉意，决定先行一步返回指挥部休息，几位副司令赵家骧、吉星文、章杰酒兴正浓，便留在水上<餐厅>聊天。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	白威廉对欧叶的追求攻势可谓猛之又猛，除了包餐厅，开发布会，他还特地请欧叶去海棠湾洲际酒店的水下<餐厅>。	a1.s1	a2.s2	a3.s2	a4.s1	a5.s1
餐厅-n	酒店拥有格调高雅、风格各异的各式<餐厅>、包厢和酒吧，让您享受来自各地的美食精品，使您在商务宴请、朋友聚会中度过美好时光；设施齐全、环境舒适的康体中心，提供室外大型游泳池、网球场、篮球场、室内恒温游泳池、台球、沙壶球、乒乓球、棋牌和美容美发等设施，让您舒展筋骨，愉悦身心。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	该网友告诉记者，他是一名学生，寒假在芦溪县家人有约时尚主题<餐厅>勤工俭学，拍摄到此视频。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	但<餐厅>的布置上可以多些浓烈的色彩，所以在婚庆气氛中的餐厅，可大胆地多用些红色，毕竟，鲜艳的颜色有增进食欲的效果。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	古典风格的<餐厅>挂传统的国画山水画挺不错的，不过走廊空间有点小，不适合挂大尺幅的山水画，可以挂一些斗方画或者三尺横幅竖幅的山水作品，诸明的三尺竖幅山水《气宇轩昂》清幽淡雅山高水长景色迷人，描绘了江南水乡的美丽景色，挂在餐厅走廊能够增色不少。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	而且酒店内也是美轮美奂，气派宏伟，坐在豪华的<餐厅>内，透过高大的拱形玻璃窗眺望窗外迷人的露易斯湖，可谓是人间一大享受。	a1.s1	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	酒店设施豪华，佣有豪华套房、普通套房、标准间、大床房等各类客房，宽带接入、网络电视、液晶彩电、完善的中央空调系统、国际知名的卫浴、卧具用品等各类设施为您营造出温馨舒适的家居感受；设有多个风格独特、装修豪华的大小<餐厅>，是您宴请、聚会的最佳选择。	a1.s1	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	本周周三中午南苑<餐厅>门口，志愿者们举办了“文明使用小黄车，签名盖章活动”，此次活动将“最美骑行”评选和志愿者们寻找小黄车的照片做为背景墙，向大家倡议“共享骑行美好生活”和“文明使用小黄车”。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	为稳妥起见，我进了一小箱，货到以后拿十几个送给亲戚朋友和几家<餐厅>试用。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	早晨设计是行业里最不急功近利的公司，只为高端企业服务从不参加竞稿的经营理念，让这家公司的发展显得镇定自若，1000平面的工作空间中，一半面积用于生活，拥有图书馆、电影院、健身房、<餐厅>、咖啡厅和画室，是中国设计产业名副其实的“梦工厂”。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	<餐厅>的装修是浪漫随意的俄罗斯民族的性格，温暖的颜色深深浅浅地交杂在一起，洋溢着早春新鲜而朦胧欲动的气息。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	酒店五间风格迥异的<餐厅>将同时于平安夜、圣诞日、新年前夜及新年当日推出泰式、意式、日式、中式的节日美食。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	节日期间，各餐饮企业主打“惠民”牌，餐饮消费从类型上看主要以家宴、婚宴、聚会为主，而大众餐饮、特色餐饮如世纪金源新开业的机器人<餐厅>等受到欢迎。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	<餐厅>的服务员也注意到这边的情况了，连忙跑过来，对那个小胖子一家说：“尊敬的客人，还请在餐厅里保持安静，以免影响其他客人的用餐。”	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	酒店配置有客房、零点<餐厅>、包厢、宴会厅、空中花园咖啡厅、空中花园私家餐厅、会议室、健身房以及商务中心，为宾客提供完善的餐饮、住宿、会议、商务服务。	a1.s3	a2.s5	a3.s2	a4.sx	a5.s1
餐厅-n	此项评选的标准主要包括：天气、生活成本、职业发展、夜生活、性别比例、空气质量、假期和<餐厅>酒吧数量等。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	但WatersideTerrace比其他餐厅更胜一筹，因为它是一家全露天的<餐厅>，并非只放一两张桌子在户外，便强称自己为露天餐厅，所以来到这里，不论你坐在哪个角落，也是无比悠然自在。	a1.s1	a2.s2	a3.s6	a4.s1	a5.s1
餐厅-n	食：业内出名的企业<餐厅>，每周五晚还有各种主题美食节。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	定位为贵阳市全新标志型商务酒店的贵阳亨特国际索菲特酒店，将设有231间宽敞的各类型房间及套房，餐饮设施将包括3间风味各异的<餐厅>，其中一间为位于酒店楼顶的全天候餐厅，以及2间个性酒吧。	a1.s1	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	有厨房、<餐厅>、食堂和商场,此系统是目前全球规模最大的垃圾处理应用系统之一,垃圾通过压缩、真空包装后进入管道,排出的废气符合“绿色奥运、环保奥运”的要求.	a1.sx	a2.s1	a3.s2	a4.sx	a5.s1
餐厅-n	黄红军介绍，运动员<餐厅>的大厨以前都是在北京饭店工作，技术水平非常高。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	同时，综合项目内的两所<餐厅>及购物商场的人流增加，而商场於年内继续满租，宴会和婚宴业务亦表现强劲，致使综合项目的收入总额较2010年上升7%至538百万港元。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	主题餐厅，顾名思义，就是具有主题的<餐厅>,是通过一个或多个主题为吸引标志的饮食餐厅场所。"	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	该项目的最早试点是在深圳和上海，主要面向餐饮行业的商户，当持卡用户在积分通上注册会员后，在合作<餐厅>就餐，就能按刷卡消费金额自动获得全单返利。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	青岛别墅装修之<餐厅>装修风水的禁忌一：	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	庄园有各类中西<餐厅>可同时接待700位客人就餐。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	电梯很快,一分钟就可以上到45楼,45楼的这个展望台距离地面202米,观察了一下地形,总的来说就是一个不大的360度的观景层,同时部分观景区域被该楼的一个<餐厅>圈走,曾尝试在该餐厅吃晚饭,看看是否可以找到更好的视角,但是餐厅服务员很礼貌的提示窗口的餐位都已经被预定,而且不允许过去在已预留窗口拍摄。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	总体来说对这次旅行非常满意价格说实话是合理的行程安排也比较合理早上89点出发晚上45点会回来景点都很美导游很细心耐心并没有推荐各种买东西的地方只去了几个农庄自愿买一些很不错的农产品而且吃饭导游都会推荐几个比较有名好吃的<餐厅>还有接机和送机总体很满意	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	“24小时营业的<餐厅>，带起来一批簋街的夜市。”	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	宾馆免费提供wifi、停车场；自助早餐任君选择，让您住得方便舒心；各种设施配套完善，商务中心、宴会厅、<餐厅>可满足您办公、生活、休闲、娱乐的多样需求。	a1.s1	a2.s5	a3.s1	a4.s1	a5.s1
餐厅-n	当然餐饮行业想要成功最为重要的还是食品的味道，口味是餐饮的灵魂这句话一点都不夸张，和将就品牌名不同的是<餐厅>的菜品确实十分的讲究，在口味的研发上面，将就从来不吝啬人力物力乃至财力的付出，在面世之前付出了大量的调研和实验，在洞悉了消费者偏好的基础上，推出了麻辣烫、小吃、汤粉面、炒饭、小火锅五类产品。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	求我先到饭店的一楼<餐厅>内等他。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	以生产和销售酒店、<餐厅>、餐饮连锁店、便利店及食品加工厂制冷设备为主。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	酒店内特设自助<餐厅>，中餐厅，茶吧，咖啡厅可诚邀宾客共度休闲时光，华丽的宴会厅和敞亮的活动空间为宾客享受精彩难忘的时刻提供了典雅的氛围。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	央视曝光人造鱼翅真相：烧碱明胶双氧水泡制鱼翅是以鲨鱼鳍制成，在许多高档的<餐厅>里，鱼翅动辄要到几百元甚至上千元一份，然而有业内人士说，在国内市场消费的鱼翅当中，大约四成是靠这种所谓的人造鱼翅来支撑的，早已经形成了一条黑色的利益链。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	目前,设有<餐厅>、医务室、阅览室、棋牌室、会议室、储藏室、办公室及20个床位,服务对象为中心街社区辖区内60岁以上的老年人,重点对象是高龄、独居、空巢、生活自理有困难的老年人,社区设专职服务人员和志愿者队伍管理照料老年人生活,并依托街道卫生院建立老年人健康档案,构建“医养融合”的发展模式，随后,法官远赴内蒙古对该公司两个银行账户依法进行了查封,冻结了700多万元银行存款,并依法查封了该公司拥有的土地区块,但对此事的具体补偿事宜始终没有达成一致，出现问题的零件由德国大陆集团(Continental)生产。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	后来我与先生去酒店<餐厅>吃午饭，孙导游则待在大堂帮忙联系旅行团。	a1.s1	a2.s2	a3.s2	a4.s1	a5.s1
餐厅-n	因此，餐饮企业应转变只顾赢利而不顾餐饮浪费的做法，不能只为了盈利而鼓励客人大量点菜，而应建议消费者合理点菜，避免浪费；另外，<餐厅>服务员要主动提醒客人注意节俭，或主动帮助顾客打包。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	从面试到正式入职工作，“很高兴遇见你”<餐厅>的老板，并没有要求记者办理健康证。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	员工<餐厅>	a1.s2	a2.s7	a3.s3	a4.s1	a5.s1
餐厅-n	推荐理由：酥皮燕窝蛋挞是一道只能在广州比较高级的<餐厅>才能找到的小吃，但是这家店的菜单里，您也可以看到它的影子。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	类似去<餐厅>吃完饭在大众点评上给出评价一样，用户在某家医院就诊后，可对医疗机构的环境、接诊速度，医疗效果以及服务态度等进行评价。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	樂閣意大利餐厅以意大利和地中海菜式为主打的樂閣意大利<餐厅>，致力于为您献上最尊贵的体验。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	竹溪湖景区总面积16800亩，包含仙景苑别墅区、听涛轩客房、篁芦客房、聚之缘风味<餐厅>、问天楼中餐厅、湖鱼火锅厅、修仙茶庄等，可品湖内生态湖鲢、地方特色及野菜等，可乘游船、观美景	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	图为事发肯德基<餐厅>。	a1.s1	a2.s3	a3.s1	a4.s1	a5.s1
餐厅-n	我们去的四个城市的宾馆和<餐厅>基本不用担心交流问题，一些小商小贩可能无法交流，但是指一下想要的东西，他们就会给你出示一张纸币示意金额是多少，或者随身带个小本写价格出示给对方，实在不行，肢体语言是最有效的	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	第二届云南婚博会有包括酒店、婚宴酒楼、格调<餐厅>、高尔夫球会等的20商家参展，你可在此轻松比对价格、档期、菜式、环境，然后订下喜宴，圆满人生最幸福的一天。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	当地时间上周五，他参股在纽约开设的烧烤<餐厅>，因涉嫌不支付最低工资，骗取员工的小费，让员工超时工作却不付薪水，被员工联名控告。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	客厅:客厅<餐厅>分而不离，既显空间宽敞又显布局合理。	a1.s3	a2.s1	a3.s2	a4.s2	a5.s2
餐厅-n	户型亮点：坐在客厅沙发上可以看见百望山，在<餐厅>吃饭可以看见小区园林绿化，厨房面积合适，尤其是尺寸比例很协调。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	温馨提示：郴州<餐厅>吊灯品牌就介绍到这里，希望对大家有所帮助。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	我们保证食材安全，星级<餐厅>提供营养均衡的食谱，引导小骑士们不挑食，小骑士们每天都会有足量的体能补充，吃的安心。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	到装潢典雅的<餐厅>喝下午茶，有人会对你发出善意的眼神。	a1.s1	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	其独特的情调客房和拥有异国风情的沙滩<餐厅>，无怪乎令很多人魂牵梦索。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	菜式风味：日本料理<餐厅>地址：越秀区建设六马路1号3a5-6号铺	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	6月30日，新京报记者以采购名义联系到一家福建供应商，其负责人表示可长期成吨批发供应油鱼，并在全国各大城市都有分销商，通过其渠道销往<餐厅>、超市等，价格仅为2.7万元/吨，折合13元/斤左右。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	这里一直是许多游客流连忘返的地方，因为一大堆的精品店、名品店、<餐厅>、PUB都在此地，几乎汇集了各种产品，除了服饰，鞋店，精油店，而且有些有名的商品会在此设点、每一家店都有自己的个性，晚餐可自行在库塔洋人街附近品尝当地特色小吃。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	等暂时安全后，况永波回到吃饭的<餐厅>拿遗下的证件，才发觉吃饭的桌子已经变成木条碎片状，墙塌了，落地书架倒在了屋子正中。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	所属景区：厦门文章标签：游记（上接D4)在中山路鹭江道口，就是那个网上有名的顶层<餐厅>的大楼楼下，一名摆場子的男子被一大群人围观着。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	这项工作就是由成本控制部与厨师共同完成，完成后的“标准菜单配方”是各个<餐厅>厨师日常操作的样板和“圣经”，主要菜单经过试制整盘，还要拍照立样。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	一次,记者请一位瑞典朋友到家里吃饭,并按照中国人的习惯把<餐厅>的灯光调得很亮,可那位朋友却向记者提出了一个要求,希望把灯关掉点起蜡烛,还说这样会更有情调。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	主营家具，各式收纳用具，办公小家电家具，客厅家具，<餐厅>家具，卧室家具，等等。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	在顾家功能展厅，展示了最新功能产品，，自从2017年3月正式发布以来，顾家功能这个新兴品类就备受关注，对于消费者来讲，功能沙发不仅拥有舒适的坐感，多种可调节功能也得到消费者喜爱；在顾家布艺展厅，展品分为了“缤纷系列”、“睿致系列”、“布床系列”3大系列分区陈列，带来近60款客<餐厅>、卧室及配套产品；在顾家家居睡眠中心也将多款新产品带入展厅。	a1.sx	a2.s5	a3.s2	a4.sx	a5.s2
餐厅-n	9月18日，<餐厅>正式开业。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	说起东京美食，东京连续九年荣登世界米其林<餐厅>之都的冠军宝座。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	推荐理由：香港著名的连锁茶餐厅，明星也喜欢光顾的茶<餐厅>，品种多，选择多，任何时候都是爆满，价钱比一般茶餐厅略贵，但绝对值得。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
