headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
Bank-n	Zumeist sind beide Eheleute zu je 1/2 Eigentümer des gemeinsamen Hauses und haften auch gegenüber der finanzierenden <Bank> zu je 1/2 als Mitdarlehensnehmer.	a1.s1	a2.sx	a3.s1	a4.s26	a5.sx	a6.s1	a7.s1
Bank-n	Weil die <Banken> infolge der internationalen Finanzkrise wenig bis gar keine Steuern zahlen, rechnet die Stadt Zürich für 2008 mit einem Minus von knapp 200 Millionen Franken, anstelle des budgetierten Überschusses von 60 Millionen Franken.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Der Ausschluß der <Banken> ohne Ausgleichsforderungen von der Ablösung der Reichstitel könne auch mit der angeblichen Begünstigung der Banken durch die im Rahmen der Währungs- und Umstellungsgesetzgebung getroffenen Sonderregelungen nicht gerechtfertigt werden.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	So hielt es die renommierte Kanzlei Freshfields bereits im März 2013 im Rahmen einer Risikoanalyse im Auftrag von Sarasin für "überwiegend wahrscheinlich", dass Müller eine Klage gegen die <Bank> wegen Falschberatung vor einem deutschen Gericht gewinnt.	a1.s1	a2.s1	a3.s1	a4.s25	a5.s1	a6.s1	a7.s1
Bank-n	Interessant wurde es erst spät, als die abgezockte Rentnerin Sommermeyer dazukam und der Anlegeranwalt Petersen, der von seiner Erfahrung als Bänker profitiert, das Thema <Banken> und Sparkassen insgesamt auf den Seziertisch legte.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Eltern nehmen währenddessen auf einer der <Bänke> oder der überdachten Terrasse Platz.	a1.s1	a2.sx	a3.s2	a4.s16	a5.s2	a6.sx	a7.s2
Bank-n	Ich glaube dass die internationalen Finanzorganistationen die ja eng mit den <Banken> verflochten sind durch Kreditvergaben etc. und die die Ukraine über Wasser halten mit viel viel Geld...noch gehörigen Druck auf die die Idioten von Kiew ausüben wird.	a1.s1	a2.s1	a3.s1	a4.s34	a5.s1	a6.s1	a7.s1
Bank-n	Brechts Bonmot "Was ist der Überfall auf eine <Bank> gegen die Gründung einer Bank?	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Jedoch wurden nach dem Erbfall Grundschulden zugunsten der <Bank> im Grundbuch eingetragen, ohne dass hierzu in voller Höhe ein Darlehen floss.	a1.s1	a2.sx	a3.s1	a4.s2	a5.sx	a6.s1	a7.s1
Bank-n	Das nicht auf Geld aufgebaut ist, das die <Banken> einfach per Kredit erschaffen und das eigentlich von nichts gedeckt ist.	a1.s1	a2.sx	a3.s1	a4.s6	a5.s1	a6.s1	a7.s1
Bank-n	Eine Baufinanzierung von nur 140.000 Euro und 35.000 Euro, die zu viel an die <Bank> gezahlt wurden.	a1.s1	a2.s1	a3.s1	a4.s29	a5.s1	a6.s1	a7.s1
Bank-n	In der Bilanz der Bank erscheint das so erzeugte Kundenguthaben als Verbindlichkeit der <Bank> gegenüber dem Kunden (Passivum).	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	Immer wieder bieten sich nicht nur an den ausgeschilderten Routen, sondern auch entlang der Gewässer oder auf kleinen Anhöhen unter schattigen Bäumen <Bänke> zum Ausruhen oder Verweilen an.	a1.s2	a2.s2	a3.s2	a4.s16	a5.s2	a6.s2	a7.s2
Bank-n	Sie fanden Hilfe und Zuspruch in der Dortmunder Obdachloseninitiative Gast-Haus statt <Bank>.	a1.s4	a2.sx	a3.s1	a4.s36	a5.s2	a6.sx	a7.sx
Bank-n	Im Gegensatz zu einer geplanten Kreditgarantie erheben die <Banken> gegenüber ihren Kreditnehmern keine zusätzliche Gebühr für eine weitere Kreditwürdigkeitsprüfung, wenn das Darlehen von zwei gleichberechtigten Kreditnehmern aufgenommen wird.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Auch wenn es sich bei einem Eilkredit normalerweise immer um einen klassischen Ratenkredit mit besonders kurzer Bearbeitungszeit handelt, gibt es dennoch von <Bank> zu Bank gewisse Unterscheidungskriterien.	a1.s1	a2.sx	a3.s1	a4.s9	a5.sx	a6.s1	a7.sx
Bank-n	11. Der Rechnungsbetrag kann vorher per <Bank> überwiesen werden oder in Bar bei Abgabe des Hundes bezahlt werden.	a1.s1	a2.s1	a3.s1	a4.s34	a5.s1	a6.s1	a7.s1
Bank-n	Der Anleger reichte daraufhin beim Landgericht Frankfurt eine Schadenersatzklage gegen die Deutsche <Bank> wegen fehlerhafter Anlageberatung ein.	a1.s1	a2.s1	a3.s1	a4.s28	a5.s1	a6.s1	a7.s1
Bank-n	Wer die Geschichte aber immerhin aus Büchern oder Erzählungen der Altvordern kennt, der ahnt, auf welch schmalem Grat wir uns bewegen und welche Verantwortung das für das Krisenmanagement der Politik, der Finanzaufsicht und der <Banken> selbst bedeutet.	a1.s1	a2.sx	a3.s1	a4.s9	a5.sx	a6.sx	a7.s1
Bank-n	Es werden bei Bedarf neue Strohmänner eingesetzt, um weitere Konten zu eröffnen, wenn die bestehenden Konten mal wieder seitens der <Banken> gekündigt wurden.	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	Anleger haben gute Aussichten darauf, Schadensersatzansprüche gegen die beratende <Bank> durchzusetzen.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Sollten die Kunden ihre Kreditkartenrechnungen nicht zahlen können, bleiben die <Banken> ohne jede pfändbare Sicherheit auf der Rechnung für den Krypto-Boom sitzen, begründeten die Institute ihre Entscheidung.	a1.s1	a2.sx	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	Verkäufer sind das Private-Equity Unternehmen ZUBR Capital und die Europäische <Bank> für Wiederaufbau und Entwicklung (EBRD).	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Günstige langlaufende Darlehen für <Banken> sind neben den niedrigen Zinsen eine Maßnahme, um nicht nur zu reagieren, sondern sich gegen den Abschwung zu stemmen.	a1.s1	a2.sx	a3.s1	a4.s37	a5.s1	a6.s1	a7.s1
Bank-n	Am 31. Dezember 2011 waren 9.770 Kunden zugleich Genossenschaftsmitglied der VR <Bank>.	a1.s1	a2.sx	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Preis 35€ Geld kann ganz normal per <Bank> überwiesen werden, bitte hiervon dann einen Screenshot schicken als Bestätigung für mich!	a1.s1	a2.s1	a3.s1	a4.s14	a5.s1	a6.s1	a7.s1
Bank-n	Verlust des Darlehensrückzahlungsanspruchs der Bank, falls Anspruch länger als 10 Jahre seitens der <Bank> gegenüber dem Darlehensnehmer nicht geltend gemacht wurde.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Es gibt zu viele Unsicherheitsfaktoren und mangelndes Vertrauen unter den <Banken>.	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	Gerade für alte Menschen und Menschen mit Behinderung stellen <Bänke> ohne Rückenlehnen eine erhebliche Erschwernis dar.	a1.s2	a2.s1	a3.s1	a4.s5	a5.s2	a6.s2	a7.s2
Bank-n	ürnberg im Ciao Preisvergleich unter <Banken>.	a1.s1	a2.sx	a3.s1	a4.s7	a5.s1	a6.s1	a7.s1
Bank-n	16.07.2009 Die KAS <BANK> N.V. erwirbt die zur Deutsche Postbank Gruppe gehörende Deutsche Postbank Privat Investment Kapitalanlagegesellschaft mbH (PPI).	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Übrig bleibt die Zinsforderung der <Bank> gegen den Kreditnehmer.	a1.s1	a2.s1	a3.s1	a4.s24	a5.s1	a6.s1	a7.s1
Bank-n	Hierbei leiht man der <Bank> gegen Zinsen Geld, das die Bank gegen höhere Zinsen als Kredit an andere Haushalte und vor allem die Wirtschaft weitergibt.	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	1978 sah man ihn in dem Stück Das Geld liegt auf der <Bank> von Curth Flatow auf dem Bildschirm.	a1.s1	a2.sx	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Vergleichsportale vergeben in den meisten Fällen keine Kredite, sondern vermitteln Kredite an eine <Bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
Bank-n	Jedoch müssen alle <Banken> bei jedem Kredit auch Rücklagen bilden, um im Fall des Bankrotts des Kreditnehmers bzw. im Fall des Verkaufs der Immobilie unter Wert weiterhin flüssig zu sein.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Ausnahme: Wenn Sie Lastschriften ausschließlich von Konten bei Deutschen <Banken> einziehen, können Sie die Option COR1 verkürzte Laufzeit auswählen.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Artikel, die per Vorkasse oder Finanzierung bestellt werden, werden erst nach Eingang der Zahlung bzw. Freigabe der Finanzierung seitens der <Bank> reserviert.	a1.s1	a2.s1	a3.s1	a4.s21	a5.s1	a6.s1	a7.s1
Bank-n	Forderungen gegenüber Unternehmen machten davon 148 Milliarden Euro aus, Forderungen gegenüber <Banken> und den Staatssektor 144 Milliarden Euro.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Seit Wochen muss Gianluigi Buffon bei PSG auf der <Bank> Platz nehmen.	a1.s2	a2.s2	a3.s2	a4.s5	a5.s2	a6.s2	a7.s2
Bank-n	Ich lasse mich auf einer der <Bänke> am Alten Kranen, direkt am Mainufer, nieder.	a1.s1	a2.sx	a3.s2	a4.s10	a5.s2	a6.sx	a7.s2
Bank-n	Daher hilft auch § 675z S. 1 BGB nicht, um bereits aus diesem Grunde einen Leistungskondiktionsanspruch der <Bank> gegen den Zahler zu sperren.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Das Urteil des AG Hamburg-Harburg v. 24.04.2013 verneint einen Bereicherungsanspruch der <Bank> gegen den Zahlungsempfänger im Falle des zwischenzeitlich erfolgten Widerrufs einer Vollmacht.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Dafür muss der Eigentümer aber keine dingliche Sicherheit stellen, sprich eine Grundschuld zugunsten der <Bank> eintragen lassen.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Mein Sohn holt gleich die Brötchen im Dorf und mir noch Geld von der <Bank>, hab nämlich gestern mit Karte gezahlt und das mach ich ungerne.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Herausforderung billiges Geld Die jüngste Entscheidung des EZB-Rates, die Leitzinsen in der Eurozone auf 0,15 % zu senken und erstmals in der Geschichte einen negativen Strafzinssatz für Einlagen von <Banken> bei der Zentralbank einzuführen, hat heftige Diskussionen ausgelöst.	a1.s1	a2.sx	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Ein Ausschluss der Rückzahlung der zu viel gezahlten Beträge der Restschuldversicherung vonseiten der <Bank> ist nicht möglich.	a1.s1	a2.sx	a3.s1	a4.s9	a5.sx	a6.s1	a7.s1
Bank-n	Die einfache Inanspruchnahme dieses Kredites über das Girokonto verursacht nicht nur bei jungen Leuten dauerhafte Schulden gegenüber der <Bank>.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Deshalb mussten die Steuerzahler die <Banken> wegen der Finanzkrise mit Milliarden, nein Billionen "retten".	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Hier kann man sich auf einer der <Bänke> niederlassen, die liebevoll angelegte Bepflanzung auf sich wirken lassen, ein Buch lesen oder entspannt den Flanierenden zusehen.	a1.s1	a2.s2	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	Neben der NBG bildete sich die Emporiki Bank als die zweitgrößte <Bank> heraus.	a1.s1	a2.sx	a3.s1	a4.sx	a5.sx	a6.sx	a7.s1
Bank-n	Um möglicherweise Kredite bei der <Bank> beantragen zu können, müssen Franchise-Nehmer auch ein gewisses Eigenkapital vorweisen können.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Der Grund besteht vor allem darin, dass das Reiseunternehmen in erster Linie von der verkauften Reise und nicht von den Kreditzinsen "lebt", wie es bei der <Bank> als Kreditgeber der Fall ist.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Konsequent ist jedoch auch, dass einer staatlichen, aber den privaten Banken gehörenden, Institution die Aufsicht über diese <Banken> übertragen wird.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Habe einen Kunden, der via Lastschrift bezahlt hat, das Geld aber von seiner <Bank> mangels Deckung wieder storniert wurde.	a1.s1	a2.sx	a3.s1	a4.s19	a5.s1	a6.sx	a7.s1
Bank-n	Finanzierung ohne <Bank>!	a1.s1	a2.s1	a3.s1	a4.s15	a5.s1	a6.s1	a7.s1
Bank-n	1981 - 1994 Tätigkeit bei <Banken>, Verbänden und der Öffentlichen Hand sowie im Dienstleistungssektor Facility Management	a1.s1	a2.sx	a3.s1	a4.sx	a5.sx	a6.sx	a7.s1
Bank-n	Während ein zweites verpflichtendes Kindergartenjahr oder der Ausbau von Ganztagsschulen auf die lange <Bank> geschoben werden, setze man auf "Scheinlösungen" wie Deutschklassen, so ihr weiterer Vorwurf.	a1.s2	a2.s2	a3.s2	a4.sx	a5.s2	a6.s2	a7.s2
Bank-n	Die Darlehen sind seitens der <Bank> unkündbar.	a1.s1	a2.s1	a3.s1	a4.s21	a5.s1	a6.s1	a7.s1
Bank-n	Auch auf globaler Ebene hatte jüngst die BIZ (<Bank> für Internationalen Zahlungsausgleich) die Banken dazu aufgefordert, bei Aktienrückkäufen und Dividenden zu pausieren.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Zweitens können sie Kredite von <Banken> erhalten, was die Finanzierung des Unternehmens durch Fremdkapital darstellt.	a1.s1	a2.s1	a3.s1	a4.s3	a5.s1	a6.s1	a7.s1
Bank-n	Mehrere deutsche <Banken> haben wegen ihrer Geschäfte mit Mossack Fonseca bereits Millionenvergleiche mit deutschen Behörden geschlossen.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Zu diesen Anbietern zählen vor allem Direktbanken, also <Banken> ohne Filialen, bei denen alle Bankgeschäfte online oder per Telefon abgewickelt werden.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Erklären die Kunden gegenüber der <Bank> selbst den Widerruf, so erhalten sie in der Regel ablehnende Standardschreiben.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Die Geschäftsführung hat bereits die Vorfinanzierung des Geldes über eine <Bank> initiiert, damit die noch fehlenden Januar-Gehälter kurzzeitig ausgezahlt werden können.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Dann sitzen Sie schnell auf dem Trockenen, denn Sie müssen den überzogenen Betrag dann sofort an die <Bank> zurückzahlen.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	So nutzte die Commerzbank als erste deutsche <Bank> das günstige Marktumfeld Anfang Februar dieses Jahres zur Platzierung einer unbesicherten Benchmark-Anleihe mit einem Volumen in Höhe von 1 Milliarde Euro bei nationalen und internationalen Investoren.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Für viele ältere Menschen nochmal ein Grund, ein Darlehen bei ihrer <Bank> aufzunehmen.	a1.s1	a2.sx	a3.s1	a4.s2	a5.sx	a6.s1	a7.s1
Bank-n	Dabei handelt es sich um Banca Monte dei Paschi di Siena aus Italien, Cyprus Popular Bank und <Bank> of Cyprus aus Zypern sowie Nova Kreditna Banka Maribor aus Slowenien.	a1.s1	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx	a7.s2
Bank-n	Die Sparguthaben stehen stellvertretend für alle Verbindlichkeiten von <Banken> gegenüber Nichtbanken, also vorallem auch Terminguthaben und Bankschuldverschreibungen.	a1.s1	a2.sx	a3.s1	a4.s31	a5.s1	a6.s1	a7.s1
Bank-n	Insbesondere die Großunternehmen klagen über eine restriktivere Kreditvergabe. 40 Prozent der befragten Großunternehmen à 500 Beschäftigten sagen, dass die <Banken> restriktiv sind bei der Kreditvergabe.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Es besteht die Möglichkeit von der ALB AG AUTOLEASING & BERATUNG ein Leasing ohne <Bank> zu erhalten.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Der Verlust der Arbeitsstelle und das Fälligstellen von Krediten durch die <Banken> kann also wirtschaftliche Katastrophen zur Folge haben.	a1.s1	a2.s1	a3.s1	a4.s21	a5.s1	a6.s1	a7.s1
Bank-n	Die <Banken> mussten aufgrund der Finanzkrise ihre Risikopositionen abbauen und erhöhten die Risikobewertung ihrer Kredite.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Sie wurden bei der <Bank> wegen Ihres Kredits abgelehnt entspricht nicht ihren Standards?	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Es können ggf. sogar Forderungen gegen die finanzierende <Bank> bestehen.	a1.s1	a2.s1	a3.s1	a4.s32	a5.s1	a6.s1	a7.s1
Bank-n	Dies bedeutet, dass die der <Bank> als Sicherheit gewährte Grundschuld verwertet wird, indem das Amtsgericht die Immobilie zwangsversteigert.	a1.s1	a2.sx	a3.s1	a4.s2	a5.sx	a6.s1	a7.s1
Bank-n	Voller Zufriedenheit konnten wir feststellen, dass die Saison voller Arbeit gewesen sein muss: das Holzlager ist frisch überdacht, vollgefüllt und neu gesichert worden, der VollerplatzFeuerplatz ist runderneuert, die Hütte frisch gestrichen und auch die Tische und <Bänke> haben einen neuen Anstrich mit Volltonfarbe erhalten.	a1.s2	a2.s2	a3.s2	a4.s5	a5.s2	a6.s2	a7.s2
Bank-n	Eine ältere Teilnehmerin war diesbezüglich nicht so diskret gewesen – barbusig saß die Dame auf einer der <Bänke> und die Ausbuchtung unter den ausladenden Röcken ihres Kleides, sowie die darunter hervorragenden Beine, zeigte der Gauklerin, dass unter eben diesem und zwischen ihren Schenkeln wohl ein anderer Teilnehmer kniete und ihr sichtlich Freude bereitete.	a1.s2	a2.sx	a3.s2	a4.s17	a5.s2	a6.s2	a7.s2
Bank-n	Als Winckelmann und Weber anschließend bei der <Bank> um einen Kredit vorsprachen, sagte ihnen die Beraterin, dass sie ohne Sicherheiten – und die Tonträger mit der Waldron-Aufnahme seien selbstverständlich keine Sicherheit – keine 20 000 Mark für ihren Start ins Musikbusiness geliehen bekommen würden.	a1.s1	a2.s1	a3.s1	a4.s30	a5.s1	a6.s1	a7.s1
Bank-n	Geld leihen ohne <Bank> - Wer kann mir Geld leihen?	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	Die zwei großen Fusionen der letzten Monate, die Übernahme der Dresdner <Bank> durch die Commerzbank und der Kauf der Postbank durch die Deutsche Bank gehören in diesen Kontext.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Mit der Umgestaltung wird das Foyer räumlich erweitert und zum einladenden Aufenthaltsort, vor, während und nach den Konzerten, mit einer goldenen Bar im Zentrum, der vergoldeten Decke mit ihren Lichtringen und einer mäandernden <Bank> entlang der Wand.	a1.s2	a2.s2	a3.s1	a4.s17	a5.s2	a6.s2	a7.s2
Bank-n	Das schürt das Misstrauen unter den <Banken> weiter.	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	07.10.2019 09:38 Helle Stühle statt dunkler <Bänke>, mehr Flexibilität und Raum für geselliges Beisammensein: Die altehrwürdige Kirche in Oberholzklau ist umfassend renoviert worden.	a1.s2	a2.s2	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	Donnerstag, 22. August 2013 / 10:41:25 Milliardenstrafe für britische Banken wegen Falschberatung London - Britische <Banken> müssen wegen falscher Beratung von Kunden erneut Entschädigungen in Milliardenhöhe zahlen.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Faustregel: Vorfälligkeitsgebühren fallen immer an, nur die Höhe ist von Bank zu <Bank> verschieden.	a1.s1	a2.sx	a3.s1	a4.sx	a5.sx	a6.s1	a7.sx
