headword	text	sense1	sense2	sense3	sense4	sense5	sense6
kroon-s	Ja esialgu tundub, et külalised ei pelga ka tavaliselt 100–250 <krooni> piiresse mahtuvat hinda ühe öö eest.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Ellujäämise nimel inimesi koondanud ja struktuuri muutnud Evli Securities jäi möödunud aastal 41,3 miljoni kroonise käibe juures 54,1 miljoni <krooniga> kahjumisse.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Maris Lauri: eestlased ei suuda laene tagasi maksta, kui <kroon> devalveeritakse	a1.s2	a2.s2	a3.s1	a4.s5	a5.s2	a6.s1
kroon-s	Suitsuahvena salat sai <krooniks> veel kodujuustu, mõnusalt hapukad punased sõstrad ja poolvedelad munad, millest valgus salatile siidine kaste	a1.sx	a2.sx	a3.sx	a4.s4	a5.sx	a6.s1
kroon-s	Kõige <krooniks> jäin ise ka haigeks ja kirsina tordil hakkasid mul kõik neli tarkusehammast valutama.	a1.s5	a2.sx	a3.s4	a4.s1	a5.sx	a6.sx
kroon-s	<krooni> aastal 2009 või kuni 6,2 mln.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Enne teda oli alates 2008. aastast taarat tagastades miljon Norra <krooni> (110 831 eurot) võitnud 40 inimest.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Juriidilistele isikutele maksab veetarbimine ja heitvee ärajuhtimine 35 <krooni> kuupmeetrilt.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Kohtus selgus, et Mõtus tahtnud H. Krischi templitööstusest tellida kahte Karksi valla valimisjaoskonna templit, kuid Krisch keeldunud isegi siis, kui tavakohase nelja krooni asemel pakuti 50 <krooni> tükist.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Vastasel korral kandub 600 000 <krooni> riigituludesse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	On neid kes peavad kogu kaabliäri parajaks umbluuks, ning on heligurmaane, kes silma pilgutamata nõus "investeerima" tuhandeid <kroone> ( mõni isegi dollareid) ühte poole meetri pikkusesse kaablijuppi.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Tea Taruste Peterburi Ärikvartali büroohoones, kus oktoobris läheb ehitusse 5. korrus, algavad rendihinnad 80 <kroonist> ruutmeetri kohta.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Piletid hinnaga 125-500 <krooni> müügil Piletilevi ja Piletipunkti müügikohtades.	a1.sx	a2.sx	a3.s1	a4.s4	a5.sx	a6.sx
kroon-s	Küll aga kujutan ette olukorda, kus <krooni> devalveerimisest tulenev ebakindlus sunnib eksportijate kliente enda tellimuste esitamisel tavalisest ettevaatlikumad ja äraootavamad olema.	a1.s2	a2.s2	a3.s1	a4.s5	a5.s2	a6.s1
kroon-s	Kokku sooritati Tallinna börsil täna 115 tehingut 34 miljoni <krooni> väärtuses, millest üle 70 protsendi moodustas Hansapanga aktsiatega sooritatud tehingute käive.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	15) lisa 3 osa 2 punktis 34 asendatakse sõnad tuhat <krooni> tekstiosaga 63,91 eurot;	a1.sx	a2.s2	a3.s1	a4.s3	a5.sx	a6.s1
kroon-s	• 22.04.2010 võttis Riigikogu vastu euro kasutusele võtmise seaduse, millega sätestati reeglistik, et vahetada alates 1. jaanuarist 2011 Eesti <kroonid> eurodeks, kõrvaldada kroonid käibelt ning kehtestada krooni ja euro paralleelkäive 14 päeva jooksul alates euro muutumisest Eesti Vabariigi maksevahendiks.	a1.s2	a2.s2	a3.s1	a4.s4	a5.s2	a6.s1
kroon-s	Augustis laekus üksikisiku tulumaksu 146,6 miljonit <krooni> võrrelduna 187,5 miljoni krooniga juulis, kui tulumaksu laekumine kasvas hüppeliselt.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	me ka vahel, et maa peale tagasi tulla, teisendame erinevaid hindu <kroonidesse> tagasi	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Jumal valmistas kõik selle imelise, mida me näeme – kaasa arvatud inimese kui looduse <krooni> – kuue tegeliku päevaga.	a1.s3	a2.sx	a3.s4	a4.s8	a5.s3	a6.s3
kroon-s	Hinnaga ronib hübriid-Cayenne oma 1,03 mln <kroonini> ulatuva baashinnaga paraku lakke (võrdluseks – diisel-Cayenne'i hind algab veidi üle 780 000 kroonist, odavaima bensiinimootoriga mudeli vastu tasub huvi tunda alates 726 000 kroonist).	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Ja seda kõike vaid 1,37 <krooni> eest päevas .	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Turniiri osalustasu oli vaid 1 dollar ehk pisut üle 11 krooni, ent auhinnafond ulatus lausa poolteise miljoni <kroonini>.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Kui Maapanga augud arvestatakse olevat poole miljardi <krooni> piirimail, siis kümme korda suuremate pankade augud võivad olla vastavalt suuremad.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	200 <krooniga> saab korraliku majutuse hostelis või külalistemajas.	a1.sx	a2.sx	a3.sx	a4.s3	a5.sx	a6.sx
kroon-s	Euro kasutuselevõtul fikseeritakse <krooni> kurss euro suhtes vastavalt Euroopa Liidu poolt kehtestatavale Saksa marga ja euro vahelisele kursile.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Kahjuks pole sündivuse tõus riigimeheliku tegevuse tulemus, kuigi riik on hiljuti lapsetoetust tõstnud tervelt 150 <kroonini> kuus.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Sandor Richteri hinnangul jäävad kümme uut liiget esimesel aastal 400 miljoni euro elik 6,3 miljardi Eesti <krooniga> miinusesse - ja see hinnang on tema sõnul optimistlik : "Potentsiaalsed uued liiikmesmaad saavad praegu liitumiseelset abi, mis kestab kuni liitumiseelse aasta lõpuni.	a1.s2	a2.s2	a3.s1	a4.s7	a5.sx	a6.sx
kroon-s	Tartu Majaomanike Ühing taotleb, et linn tõstaks maikuust üüri piirmäära kuus aastat tagasi kehtestatud viielt <kroonilt> ruutmeetri eest viieteistkümnele kroonile.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Väärtpaberituru seaduse rikkujaid ähvardab ränk trahv Riigikogu muutis kolmapäeval väärtpaberituru seadust, kriminaalkoodeksit ja haldusõiguserikkumiste seadustikku kehtestades väärtpaberituru seaduse rikkumise eest miljoni <kroonini> küündivad trahvid.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Rändnäitus "Eesti raha margast <kroonini>" on valminud Eesti Panga muuseumi ja Eesti Ajaloomuuseumi koostöös.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Talupidajad vihased Talunike sõnul võib Maapanga arvelduste sulgemine tuua kaasa sadadesse miljonitesse <kroonidesse> ulatuva kahju ja talumajanduse hävingu.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Näiteks näen ju ära, et toredal Viru tänav paluvad almust karkudega petised, kes kõige <krooniks> käivad nurga taga üksteist õpetamas ja siis tulevad uuesti raha lunima.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Teine asi, mis kindlasti väärib äramärkimist - valitsus suurendas riigi poolt tagatud õppelaenu maksimaalmäära seniselt 15 000 <kroonilt> aastas 17 000 kroonini aastas.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Valitsuse poolt parlamendile kinnitamiseks esitatud 2002. aasta riigieelarve projektis on arenguabiks ette nähtud 12,5 miljardit Taani <krooni> ehk miljard vähem kui mullu.	a1.sx	a2.s2	a3.s1	a4.s4	a5.sx	a6.s1
kroon-s	Samas ei pea perekond leidma eluasemelaenu puhul nõutavat 10-34protsendilist omafinantseeringut, mis võiks tähendada sadadesse tuhandetesse <kroonidesse> küündivat kulu.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	ei saa ikkagi aru....6 eur mul poleks ka kahju :D tean et üks klikk maksab <kroonides> kirjas 6 krooni...ah ma ei tea mis jama see on ...keegi selataks kes on sellepealt targem	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Tulemuseks oli aga, et kahe suure Long Islandi eest sai makstud circa 9 <krooni> sentidega.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Samas 18. sajandist pärit hoones (kisub A-klassi suunas) on keldrikorruse teises otsas 77,4 ruutmeetril rentnikuks linnapea Edgar Savisaare hea tuttava Alexander Kofkini firma Estkompexim, makstes 180 <krooni> ruutmeetrist.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Selline kroon laseb hammast valgustades valgust läbi nagu omagi hambad ja on just sellepärast metallokeraamilise <krooni> kõrval eelistatud.	a1.s1	a2.s1	a3.s2	a4.s1	a5.s1	a6.s2
kroon-s	Ürituse <krooniks> kujuneb 1. juunil peetav lastepäev, kus terve vanalinn on täis toredaid kogupereüritusi.	a1.sx	a2.sx	a3.s4	a4.s1	a5.sx	a6.sx
kroon-s	Foto : Aldo Luud AS Werol Tehaste endise juhi Erki Aaviku süüasjale on lisanud uus, kahe miljoni <kroonini> ulatuv rahapesukahtlus.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Tuleb meelde tuletada keel, mida kunagi ammu ainult rääkida oskasimegi, ühes oma teadmiste ja looduse <krooniks> oldud aegade mälestuseks saadud õppetundidega.	a1.s3	a2.sx	a3.s4	a4.s8	a5.s3	a6.s3
kroon-s	1.1.5 Vladimir Fedotov maksab Tallinna linnale leppetrahvi 1 864 800 (üks miljon kakssada kuuskümmend neli tuhat kaheksasada) <krooni> juhul, kui ta ei nõustu asjaõiguslepingu sõlmimisega või on teinud toiminguid, mis raskendavad asjaõiguslepingu sõlmimist või on teinud sõlmimise võimatuks;	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx
kroon-s	Sellise pinna ruutmeetrihind võiks Kõrmi sõnul olla 90-110 <krooni> kuus.	a1.sx	a2.s2	a3.s1	a4.s2	a5.sx	a6.sx
kroon-s	Automaatjaamades maksab kütus endiselt alla kümne <krooni> liitrilt.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Eeltoodu sobib üldistama ka töötukassa pea miljoni <kroonini> küündivat meenete ja kontoritarvete hanget, mis kerkis avalikkuse huviorbiiti, kui keskerakondlased riigikogus sotsiaalministrilt selle kohta aru pärisid.	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	Kas te koalitsioonis jõudsite kokkuleppele, mida te mõistate rahvatulu all, et teaksime, millest võtta 1,5% ja saada summa <kroonides>, mida teadusele eraldatakse?	a1.s2	a2.s2	a3.s1	a4.s7	a5.s2	a6.s1
kroon-s	Kõige värskem näide on Edgar Savisaare ettepanek minna meie olümpiasangaritele makstavate preemiasummadega ennaktempos üle <kroonilt> eurole.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Arvestuskäik tehakse <kroonides> ning tagastamisele või tasumisele kuuluv summa arvestatakse eurodesse vastavalt üldistele konverteerimis- ja ümardamisreeglitele.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	21. oktoobril varastati Võru vallas Kose alevikus kannatanult rahakott koos dokumentide ja 300 <krooni> sularahaga.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Keskmine marginaal kütuste jaemüügis automaatjaamades on kuni üks <kroon> liitri kohta, teenindusjaamades hinnaerinevuse võrra kõrgem.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Iseseisvumisega jääksid Fäärid ilma keskvalitsuse makstavast miljardist Taani <kroonist> aastas.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Umbes pooled olid mõistnud selle all seksikust, üks mõistis lumivalgekese heleroosat kostüümi koos <krooniga>, üks paar etendab professorit ja litsikest ning viimane paar saabub ülipidulikus rõivas.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Teame, et iga kaks ja pool kilo elektriks põletatud põlevkivi tekitab meie tervishoiule ja keskkonnale ligi kahe <krooni> ulatuses kulusid.	a1.sx	a2.s2	a3.s1	a4.s4	a5.sx	a6.sx
kroon-s	Esmakordselt on ajaloomuuseumis võimalik näha seni Ühispangas seisnud, Eesti <kroonidel> kujutatud kultuuritegelasi.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Nii maksis Cardinal 54 vahetult peale rahareformi 1981. aastal 325 Rootsi krooni, Ambassadeur 7000 740 rootsi krooni, 275 cm pikkune Conoloni kahekäeritv 298 Rootsi krooni, 18-grammine Hi-Lo lant 25 Rootsi <krooni> jne.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Turvaosakonna juht lisas veel, et kiirustamiseks pole mingit põhjust, kuna kaks nädalat on käibel kaks raha paralleelselt, kõik inimesed saavad raha vahetada nii palju kui soovi on ning Eesti Pank vahetab <kroone> eurodeks igavesti.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Nii et sinu poolt väljahõigatud hind, oli leival mõned aastad peale <krooni> tulekut, kahjuks juba.....	a1.sx	a2.s2	a3.sx	a4.s1	a5.sx	a6.sx
